date,model,params,instruct,multi,base,paper
2022/05/01,bigscience/bloom-1b7,1700,,y,bigscience/bloom,https://arxiv.org/abs/2211.05100
2022/05/01,bigscience/bloom-3b,3000,,y,bigscience/bloom,https://arxiv.org/abs/2211.05100
2022/05/01,bigscience/bloom-7b1,7100,,y,bigscience/bloom,https://arxiv.org/abs/2211.05100
2022/05/01,bigscience/bloom,176000,,y,bigscience/bloom,https://arxiv.org/abs/2211.05100
2022/05/02,facebook/opt-125m,125,,,facebook/opt-125m,https://arxiv.org/abs/2205.01068
2022/05/02,facebook/opt-350m,350,,,facebook/opt-125m,https://arxiv.org/abs/2205.01068
2022/05/02,facebook/opt-1.3b,1300,,,facebook/opt-125m,https://arxiv.org/abs/2205.01068
2022/05/02,facebook/opt-2.7b,2700,,,facebook/opt-125m,https://arxiv.org/abs/2205.01068
2022/05/02,facebook/opt-6.7b,6700,,,facebook/opt-125m,https://arxiv.org/abs/2205.01068
2022/05/02,facebook/opt-13b,13000,,,facebook/opt-125m,https://arxiv.org/abs/2205.01068
2022/05/02,facebook/opt-30b,30000,,,facebook/opt-125m,https://arxiv.org/abs/2205.01068
2022/05/02,facebook/opt-66b,66000,,,facebook/opt-125m,https://arxiv.org/abs/2205.01068
2022/06/01,facebook/nllb-200-3.3B,3300,,,,https://arxiv.org/pdf/2207.04672.pdf
2022/10/01,BAAI/glm-2b,2000,,,BAAI/glm-2b,https://arxiv.org/pdf/2210.02414v1.pdf
2022/10/01,BAAI/glm-10b,10000,,,BAAI/glm-2b,https://arxiv.org/pdf/2210.02414v1.pdf
2022/10/01,bigscience/bloomz-560m,560,y,y,bigscience/bloomz,https://arxiv.org/abs/2211.01786
2022/10/01,bigscience/bloomz-1b1,1100,y,y,bigscience/bloomz,https://arxiv.org/abs/2211.01786
2022/10/01,bigscience/bloomz-1b7,1700,y,y,bigscience/bloomz,https://arxiv.org/abs/2211.01786
2022/10/01,bigscience/bloomz-3b,3000,y,y,bigscience/bloomz,https://arxiv.org/abs/2211.01786
2022/10/01,bigscience/bloomz-7b1,7100,y,y,bigscience/bloomz,https://arxiv.org/abs/2211.01786
2022/10/01,bigscience/bloomz,176000,y,y,bigscience/bloomz,https://arxiv.org/abs/2211.01786
2022/10/01,bigscience/mt0-small,300,y,y,bigscience/mt0-base,https://arxiv.org/abs/2211.01786
2022/10/01,bigscience/mt0-base,580,y,y,bigscience/mt0-base,https://arxiv.org/abs/2211.01786
2022/10/01,bigscience/mt0-large,1200,y,y,bigscience/mt0-base,https://arxiv.org/abs/2211.01786
2022/10/01,bigscience/mt0-xl,3700,y,y,bigscience/mt0-base,https://arxiv.org/abs/2211.01786
2022/10/01,bigscience/mt0-xxl,13000,y,y,bigscience/mt0-base,https://arxiv.org/abs/2211.01786
2022/10/01,facebook/galactica-125m,125,,,facebook/galactica-125m,https://arxiv.org/pdf/2211.09085.pdf
2022/10/01,facebook/galactica-1.3b,1300,,,facebook/galactica-125m,https://arxiv.org/pdf/2211.09085.pdf
2022/10/01,facebook/galactica-6.7b,6700,,,facebook/galactica-125m,https://arxiv.org/pdf/2211.09085.pdf
2022/10/01,facebook/galactica-30b,30000,,,facebook/galactica-125m,https://arxiv.org/pdf/2211.09085.pdf
2022/10/01,facebook/galactica-120b,120000,,,facebook/galactica-125m,https://arxiv.org/pdf/2211.09085.pdf
2022/10/01,google/flan-t5-small,60,y,,google/flan-t5-base,https://arxiv.org/pdf/2210.11416.pdf
2022/10/01,google/flan-t5-base,220,y,,google/flan-t5-base,https://arxiv.org/pdf/2210.11416.pdf
2022/10/01,google/flan-t5-large,780,y,,google/flan-t5-base,https://arxiv.org/pdf/2210.11416.pdf
2022/10/01,google/flan-t5-xl,3000,y,,google/flan-t5-base,https://arxiv.org/pdf/2210.11416.pdf
2022/10/01,google/flan-t5-xxl,11000,y,,google/flan-t5-base,https://arxiv.org/pdf/2210.11416.pdf
2022/10/01,togethercomputer/GPT-JT-6B-v1,6000,,,,https://huggingface.co/togethercomputer/GPT-JT-6B-v1
2022/12/01,facebook/opt-iml-max-1.3b,1300,y,,facebook/opt-iml-max-1.3b,https://arxiv.org/abs/2212.12017
2022/12/01,facebook/opt-iml-max-30b,30000,y,,facebook/opt-iml-max-1.3b,https://arxiv.org/abs/2212.12017
